Season,GROUP_VALUE,BLKA_percentile,FGM,FGM_percentile,FGA,FGA_percentile,FG3M,FG3M_percentile,FG3A,FG3A_percentile,FG_PCT,FG_PCT_percentile,FG3_PCT,FG3_PCT_percentile,EFG_PCT,EFG_PCT_percentile,PCT_AST_2PM,PCT_AST_2PM_percentile,PCT_UAST_2PM,PCT_UAST_2PM_percentile,PCT_AST_3PM,PCT_AST_3PM_percentile,PCT_UAST_3PM,PCT_UAST_3PM_percentile,PCT_AST_FGM,PCT_AST_FGM_percentile,PCT_UAST_FGM,PCT_UAST_FGM_percentile
2024-25 2H,Restricted Area,98.69242199108469,3.3076923076923075,98.36552748885586,4.961538461538462,96.50817236255571,0.0,34.205052005943536,0.0,30.208023774145616,0.667,88.23179791976226,0.0,34.205052005943536,0.667,80.19316493313521,0.349,71.96136701337295,0.651,91.15898959881129,0.0,34.38335809806835,0.0,45.0520059435364,0.349,40.87667161961367,0.651,90.65378900445765
2024-25 1H,Restricted Area,99.45915172217478,2.0625,95.0185027042414,3.3333333333333335,91.83034443495588,0.0,33.333333333333336,0.0,28.835752917734133,0.619,87.6601195559351,0.0,33.333333333333336,0.619,78.60802732707089,0.414,72.77255906632509,0.586,89.93737546256762,0.0,33.432963279248504,0.0,43.87987475092514,0.414,40.09393680614859,0.586,89.31113008824367
2023-24,Restricted Area,98.54187860291624,2.6835443037974684,96.91420820617158,4.2784810126582276,94.0996948118006,0.0,32.26517463546965,0.0,27.636486944727025,0.627,88.67412682265174,0.0,32.26517463546965,0.627,79.5693455408613,0.316,65.98847066802306,0.684,93.89623601220752,0.0,32.31603933536792,0.0,42.675483214649034,0.316,30.722278738555442,0.684,93.79450661241098
2024-25 2H,In The Paint (Non-RA),99.24219910846953,1.5384615384615385,90.20802377414562,2.9615384615384617,88.91530460624071,0.0,34.205052005943536,0.0,30.208023774145616,0.519,76.46359583952452,0.0,34.205052005943536,0.519,62.570579494799404,0.25,68.39524517087666,0.75,94.72511144130758,0.0,34.38335809806835,0.0,45.0520059435364,0.25,37.16196136701337,0.75,94.36849925705795
2024-25 1H,In The Paint (Non-RA),92.1576999715343,0.6666666666666666,78.25220609165956,1.6666666666666667,80.95644748078566,0.0,33.333333333333336,0.0,28.835752917734133,0.4,61.400512382578995,0.0,33.333333333333336,0.4,46.21406205522346,0.313,68.44577284372332,0.688,94.27839453458583,0.0,33.432963279248504,0.0,43.87987475092514,0.313,35.48249359521776,0.688,93.93680614859095
2023-24,In The Paint (Non-RA),90.01356391997287,0.8860759493670886,80.06103763987792,2.329113924050633,83.75720583248558,0.0,32.26517463546965,0.0,27.636486944727025,0.38,53.03492709393014,0.0,32.26517463546965,0.38,37.97897592404205,0.214,62.495761275008476,0.786,97.3889454052221,0.0,32.31603933536792,0.0,42.675483214649034,0.214,27.1617497456765,0.786,97.35503560528993
2024-25 2H,Mid-Range,72.22882615156017,0.7692307692307693,77.6225854383358,1.5769230769230769,76.76077265973254,0.0,34.205052005943536,0.0,30.208023774145616,0.488,69.86627043090638,0.0,34.205052005943536,0.488,56.03268945022288,0.2,67.16196136701338,0.8,95.95839524517088,0.0,34.38335809806835,0.0,45.0520059435364,0.2,35.89895988112927,0.8,95.63150074294205
2024-25 1H,Mid-Range,31.041844577284373,0.3125,64.07628807287219,1.0416666666666667,71.50583546826076,0.0,33.333333333333336,0.0,28.835752917734133,0.3,41.74494733845716,0.0,33.333333333333336,0.3,35.51095929405067,0.2,65.84116140051239,0.8,96.86877312838031,0.0,33.432963279248504,0.0,43.87987475092514,0.2,32.7355536578423,0.8,96.66951323654996
2023-24,Mid-Range,64.63207867073584,0.6329113924050633,74.72024415055951,1.6582278481012658,77.53475754493049,0.0,32.26517463546965,0.0,27.636486944727025,0.382,53.71312309257375,0.0,32.26517463546965,0.382,38.21634452356731,0.28,64.73380807053238,0.72,95.1508986096982,0.0,32.31603933536792,0.0,42.675483214649034,0.28,29.399796541200406,0.72,95.11698880976603
2024-25 2H,Left Corner 3,35.14115898959881,0.19230769230769232,50.074294205052006,0.5,49.58395245170876,0.19230769230769232,79.79197622585438,0.5,78.66270430906388,0.385,56.09212481426449,0.385,84.51708766716196,0.577,69.70282317979198,0.0,32.719167904903415,0.0,34.41307578008915,1.0,89.16790490341752,0.0,45.0520059435364,1.0,86.3150074294205,0.0,29.465081723625556
